,return_on_equity_pct,return_on_capital_pct,net_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,health_score
return_on_equity_pct,1.0,0.8765,-0.022,-0.1099,0.0311,0.8422,0.0558,0.0271,0.3359,0.5142
return_on_capital_pct,0.8765,1.0,0.0756,-0.0792,0.3348,0.8824,-0.0298,0.0723,0.5543,0.3473
net_profit_margin_pct,-0.022,0.0756,1.0,-0.0246,0.7861,-0.012,-0.0241,0.2487,0.0016,0.1189
debt_to_equity,-0.1099,-0.0792,-0.0246,1.0,-0.0604,-0.0934,-0.3536,0.3062,0.4206,-0.1349
interest_coverage,0.0311,0.3348,0.7861,-0.0604,1.0,0.0616,-0.2001,0.2945,0.0102,0.1191
asset_turnover,0.8422,0.8824,-0.012,-0.0934,0.0616,1.0,0.0245,-0.0239,0.1893,0.2929
free_cash_flow_cr,0.0558,-0.0298,-0.0241,-0.3536,-0.2001,0.0245,1.0,-0.2126,-0.0435,0.1865
revenue_cagr_5yr,0.0271,0.0723,0.2487,0.3062,0.2945,-0.0239,-0.2126,1.0,0.3979,0.2764
pat_cagr_5yr,0.3359,0.5543,0.0016,0.4206,0.0102,0.1893,-0.0435,0.3979,1.0,0.4981
health_score,0.5142,0.3473,0.1189,-0.1349,0.1191,0.2929,0.1865,0.2764,0.4981,1.0
