metric,P10,P25,P50,P75,P90,mean,std,count
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28,26.61,36.41,91
return_on_capital_pct,7.78,11.33,17.17,28.65,101.25,188.38,786.76,69
net_profit_margin_pct,4.61,7.23,14.13,20.36,29.28,20.06,45.43,91
debt_to_equity,0.01,0.06,0.43,1.59,6.45,1.67,2.86,91
interest_coverage,1.68,3.37,11.36,58.21,192.94,127.53,488.48,90
asset_turnover,0.07,0.21,0.68,1.13,1.66,3.5,15.85,91
free_cash_flow_cr,-14847.2,-1340.0,1095.0,8164.0,20818.1,709.48,23312.37,90
revenue_cagr_5yr,5.81,8.42,12.03,17.22,21.1,12.97,7.41,90
pat_cagr_5yr,4.32,9.56,16.13,23.62,37.91,20.34,20.55,83
health_score,34.05,46.83,53.14,65.04,73.91,54.89,15.77,91
